,int,int,int,string,string,string,int,int,string,
//어디에 쓰이나요,KEY,TITLE,REWARD,SEND_START,SEND_END,EXPIRE_AT,IS_ACTIVATED,IS_DELETED,SENDER,//순번
사전예약 보상,1,400000101,700002,2023-09-19 13:00:00,2023-10-15 23:59:59,2023-10-22 23:59:59,1,1,지호규,1
프로모션 레어 뽑기권 보상,10001,400000109,800001,2023-10-30 14:00:00,2023-10-30 14:00:00,2023-10-30 14:00:00,1,1,지호규,2
구글 인스톨 프로모션,10002,400000100,800002,2023-10-03 12:00:00,2023-11-17 00:00:00,2023-10-03 12:00:00,1,1,지호규,3
아트블록 오류 보상,10003,400000104,800003,2023-12-01 20:00:00,2023-12-02 00:00:00,2023-12-09 00:00:00,1,1,지호규,4
서버 접속 장애 보상,10004,400000110,800006,2023-12-13 19:00:00,2023-12-14 19:00:00,2023-12-22 00:00:00,1,1,지호규,5
점검 보상,10005,400000110,800009,2025-08-27 14:00:00,2025-08-28 23:59:59,2025-09-03 23:59:59,1,1,박용근,6
또점검 보상,10006,400000110,800010,2025-08-27 21:30:00,2025-08-28 23:59:59,2025-09-03 23:59:59,1,1,박용근,7
또또점검 보상,10007,400000110,800010,2025-08-28 03:00:00,2025-08-30 23:59:59,2025-09-03 23:59:59,1,1,박용근,8
정기점검보상,10008,400000110,800011,2025-09-03 13:55:00,2025-09-04 23:59:59,2025-09-09 23:59:59,1,1,박용근,9
인기 1위 푸시 보상 1일차,10009,400000121,800012,2025-09-09 14:00:00,2025-09-10 14:00:00,2025-09-16 14:00:00,1,1,박용근,10
인기 1위 푸시 보상 2일차,10010,400000122,800012,2025-09-10 14:00:00,2025-09-11 14:00:00,2025-09-17 14:00:00,1,1,박용근,11
인기 1위 푸시 보상 3일차,10011,400000123,800012,2025-09-11 14:00:00,2025-09-12 14:00:00,2025-09-18 14:00:00,1,1,박용근,12
인기 1위 푸시 보상 4일차,10012,400000124,800012,2025-09-12 14:00:00,2025-09-13 14:00:00,2025-09-19 14:00:00,1,1,박용근,13
인기 1위 푸시 보상 5일차,10013,400000125,800012,2025-09-13 14:00:00,2025-09-14 14:00:00,2025-09-20 14:00:00,1,1,박용근,14
인기 1위 푸시 보상 6일차,10014,400000126,800012,2025-09-14 14:00:00,2025-09-15 14:00:00,2025-09-21 14:00:00,1,1,박용근,15
인기 1위 푸시 보상 7일차,10015,400000127,800013,2025-09-15 14:00:00,2025-09-16 14:00:00,2025-09-22 14:00:00,1,1,박용근,16
빵꾸 보상,10016,400000110,800015,2025-09-08 20:50:00,2025-09-08 23:59:59,2025-09-15 23:59:59,1,1,박용근,17
250910정기점검보상,10017,400000110,800016,2025-09-10 12:00:00,2025-09-11 23:59:59,2025-09-16 23:59:59,1,1,정기정검,18
250917정기점검보상,10018,400000110,800017,2025-09-17 11:00:00,2025-09-18 23:59:59,2025-09-23 23:59:59,1,1,정기정검,19
250924정기점검보상,10019,400000110,800018,2025-09-24 11:00:00,2025-09-25 23:59:59,2025-09-30 23:59:59,1,1,정기정검,20
251001정기점검보상,10020,400000110,800018,2025-10-01 11:00:00,2025-10-02 23:59:59,2025-10-07 23:59:59,1,1,정기정검,21
251015정기점검보상,10021,400000110,800018,2025-10-15 11:00:00,2025-10-16 23:59:59,2025-10-21 23:59:59,1,1,정기정검,22
251022정기점검보상,10022,400000110,800018,2025-10-22 11:00:00,2025-10-23 23:59:59,2025-10-28 23:59:59,1,1,정기정검,23
251029정기점검보상,10023,400000110,800019,2025-10-22 11:00:00,2025-10-31 00:00:00,2025-11-05 00:00:00,1,1,정기정검,23
251029정기점검보상,10024,400000110,800020,2025-10-22 11:00:00,2025-10-31 00:00:00,2025-11-05 00:00:00,1,1,정기정검,23
251112정기점검보상,10025,400000110,800019,2025-11-12 11:00:00,2025-11-13 23:59:59,2025-11-18 23:59:59,1,1,정기정검,24
251125정기점검보상,10026,400000110,800019,2025-11-26 11:00:00,2025-11-27 23:59:59,2025-12-02 23:59:59,1,1,정기정검,25
251203정기점검보상,10027,400000110,800017,2025-12-03 11:00:00,2025-12-04 23:59:59,2025-12-09 23:59:59,1,1,정기정검,26
251210정기점검보상,10028,400000110,800017,2025-12-10 11:00:00,2025-12-11 23:59:59,2025-12-16 23:59:59,1,1,정기정검,27
